username_length,full_name_length,followers,following,posts,bio_length,has_external_url,has_profile_pic,is_private,is_verified,engagement_rate,label,follower_following_ratio,posts_per_follower
22,4,179,2794,17,5,1,0,0,0,0.016530032751898432,1,0.06404293381037567,0.09444444444444444
12,9,31421,68,277,74,0,1,1,0,0.04337417178073023,0,455.3768115942029,0.00881547960028006
5,28,1356,1958,292,110,0,1,1,0,0.024909937197266634,0,0.6921898928024502,0.21518054532056005
8,32,31852,608,475,53,1,1,0,0,0.0868438298598069,0,52.30213464696223,0.014912253162967381
25,4,135,799,18,15,0,0,0,0,0.018643322298849983,1,0.16875,0.1323529411764706
19,25,16329,161,166,19,0,1,1,0,0.02896994950933069,0,100.79629629629629,0.010165339865278629
18,7,37,4309,9,5,0,1,0,0,0.005325792291796281,1,0.008584686774941995,0.23684210526315788
5,16,47245,1098,71,57,1,1,1,0,0.10816074077159483,0,42.989080982711556,0.001502772721500233
15,9,28885,619,246,114,1,1,1,0,0.06803294125414051,0,46.58870967741935,0.008516236239008516
15,31,47714,600,127,29,0,1,1,0,0.09279389234762736,0,79.3910149750416,0.002661636801844284
11,33,26949,1282,51,19,0,1,1,0,0.03706387488356529,0,21.004676539360872,0.0018923933209647496
18,0,99,1768,17,8,0,1,0,0,0.013291073279128133,1,0.05596382136800452,0.17
10,16,37713,710,391,95,1,1,1,0,0.015282792635990448,0,53.042194092827,0.010367502784112002
27,4,166,1855,5,17,1,0,0,0,0.0038391430286953175,1,0.0894396551724138,0.029940119760479042
15,0,236,3276,7,2,1,0,0,0,0.01173520531542966,1,0.07201708880073238,0.029535864978902954
27,9,100,568,10,0,0,1,1,0,0.006473927030995617,1,0.1757469244288225,0.09900990099009901
6,27,45591,881,78,99,1,1,1,1,0.08051465500946836,0,51.69047619047619,0.0017108264607825934
20,7,148,2818,13,1,0,0,0,0,0.008466799412423292,1,0.05250088683930472,0.087248322147651
15,3,290,7346,2,26,0,0,0,0,0.009178793218703612,1,0.03947189328977814,0.006872852233676976
27,4,104,2893,5,6,0,1,1,0,0.018555841904410755,1,0.0359364201796821,0.047619047619047616
14,21,31771,1725,22,11,0,1,1,0,0.06443742052153185,0,18.407300115874854,0.000692433589323933
15,0,235,7132,3,18,0,1,1,0,0.005930745459720328,1,0.03294546474134305,0.012711864406779662
9,18,44566,821,181,91,0,1,1,0,0.060089422679463676,0,54.21654501216545,0.004061300962595642
5,10,40924,414,165,61,0,0,0,0,0.044542064009460154,0,98.61204819277108,0.0040317654245571165
5,30,18554,1571,183,147,0,1,1,1,0.08765257930826698,0,11.802798982188294,0.009862570735650769
6,6,38702,777,301,37,1,1,1,0,0.10049878351974711,0,49.745501285347046,0.007777174896002894
29,7,51,5672,19,1,0,1,0,0,0.0061753505728871306,1,0.008989952406134321,0.36538461538461536
19,7,278,2657,13,0,0,0,1,0,0.006920033024159789,1,0.10458991723100075,0.04659498207885305
12,17,33326,572,398,55,1,1,1,0,0.04482538987507576,0,58.160558464223385,0.011942269031115912
6,16,26666,806,247,72,0,1,1,0,0.0718172763245124,0,33.04337050805452,0.009262384220197248
22,9,140,7196,12,25,0,0,0,0,0.016151608028089102,1,0.01945254967347506,0.0851063829787234
25,9,138,2640,16,18,1,0,0,0,0.010441589576372793,1,0.052252934494509656,0.11510791366906475
9,28,37016,287,388,92,0,1,0,0,0.011427433771526314,0,128.52777777777777,0.010481670583785829
11,14,10754,1923,43,97,1,1,1,0,0.016913574608361858,0,5.58939708939709,0.00399814039981404
6,16,4972,1495,476,59,0,1,1,0,0.10659283943162502,0,3.323529411764706,0.09571687110396139
27,5,292,3227,14,20,0,0,0,0,0.018327027873853582,1,0.09045848822800495,0.04778156996587031
14,29,6526,1992,353,107,0,1,1,0,0.03787164543437466,0,3.274460612142499,0.05408303968132373
9,17,43906,889,97,76,0,1,0,0,0.09972627149689121,0,49.332584269662924,0.002209214931559888
16,12,8616,1462,486,146,1,1,1,0,0.09424081016586879,0,5.889268626110732,0.05640013925960311
20,6,130,1024,9,18,0,0,0,0,0.010014960385357975,1,0.12682926829268293,0.06870229007633588
17,15,17049,739,119,32,0,1,1,0,0.1002756802303677,0,23.03918918918919,0.006979472140762464
21,1,274,7165,9,16,0,1,1,0,0.007844305715586322,1,0.03823611498744069,0.03272727272727273
10,24,14591,927,96,88,1,1,1,0,0.04413056193532263,0,15.723060344827585,0.006578947368421052
15,7,105,5519,9,28,1,0,0,0,0.018870072063404467,1,0.019021739130434784,0.08490566037735849
19,4,260,1893,12,2,0,0,1,0,0.005219376959630719,1,0.13727560718057022,0.04597701149425287
14,22,4877,353,216,106,0,1,0,0,0.05475034653019567,0,13.77683615819209,0.04428044280442804
22,9,132,7488,18,12,1,0,0,0,0.011061669027959839,1,0.017625851248497797,0.13533834586466165
18,5,18,3861,3,15,0,0,0,0,0.01776619932961823,1,0.004660797514241326,0.15789473684210525
10,25,32304,1804,247,120,1,1,0,0,0.07811862351664936,0,17.896952908587256,0.007645875251509054
5,23,33417,477,378,77,0,1,0,0,0.06899393882296775,0,69.91004184100419,0.011311269375785506
8,10,36689,376,215,21,0,1,1,0,0.11444735137964603,0,97.3183023872679,0.00585990733169801
19,27,4011,907,48,86,1,1,0,0,0.07015201612969853,0,4.417400881057269,0.011964107676969093
27,8,125,527,12,26,1,0,0,0,0.01832522430186439,1,0.23674242424242425,0.09523809523809523
15,8,31272,1382,157,52,0,1,0,0,0.10425415135131968,0,22.6117136659436,0.005020305055479167
19,23,44864,1012,483,89,0,1,1,0,0.058895985827623454,0,44.28825271470878,0.010765630224005349
13,24,4238,1161,76,71,0,1,1,0,0.03435054154411489,0,3.6471600688468158,0.017928756782259966
18,8,116,972,18,13,0,0,0,0,0.01649155838037413,1,0.11921891058581706,0.15384615384615385
18,2,38,2780,16,6,0,0,0,0,0.005244452917437927,1,0.013664149586479683,0.41025641025641024
10,25,22597,1319,61,147,0,0,1,0,0.06757093622180682,0,17.118939393939392,0.0026993539251261175
16,2,142,1741,10,2,1,0,0,0,0.009997262657354605,1,0.08151549942594719,0.06993006993006994
9,9,15005,641,222,52,0,1,1,0,0.11581808820003736,0,23.37227414330218,0.01479408236705318
11,9,19605,769,312,144,1,1,0,0,0.011332727615961321,0,25.461038961038962,0.01591349586861165
15,26,45850,1756,412,91,1,1,1,0,0.10937880661950204,0,26.095617529880478,0.008985627358181937
29,2,283,1238,2,0,1,0,0,0,0.013546759500032543,1,0.22841000807102502,0.007042253521126761
25,1,236,5128,9,1,1,0,0,0,0.007349326391778764,1,0.04601286800545915,0.0379746835443038
24,0,30,6285,13,11,0,0,0,0,0.009652203411872722,1,0.004772510340439071,0.41935483870967744
18,31,20740,552,467,75,1,1,0,0,0.03419968679375964,0,37.504520795660035,0.022515789981196663
22,0,112,6979,12,25,1,1,0,0,0.009763914570476113,1,0.016045845272206302,0.10619469026548672
11,5,24388,159,451,47,1,1,1,0,0.018271213247193205,0,152.425,0.018491943089097546
16,17,2280,496,107,68,1,1,1,0,0.05953074311509949,0,4.5875251509054324,0.04690925032880316
26,4,273,5692,18,13,0,1,1,0,0.0008510554921442925,1,0.047953627261549274,0.06569343065693431
16,6,49103,222,326,93,1,1,0,0,0.10887669446372572,0,220.1928251121076,0.006638970348647768
10,27,30014,128,245,26,1,1,1,0,0.0635457285881698,0,232.66666666666666,0.008162585373979677
10,5,39536,1780,269,18,1,1,0,0,0.05001823192755683,0,22.198764738910725,0.00680375344613906
26,4,142,2539,9,0,0,0,1,0,0.004036081651508779,1,0.05590551181102362,0.06293706293706294
11,14,13957,894,348,17,0,1,0,0,0.027482030518744302,0,15.594413407821229,0.024931938673162343
15,2,193,6283,10,13,1,0,0,0,0.014492466019172258,1,0.030712921705919796,0.05154639175257732
5,19,39219,261,441,93,0,1,0,0,0.10660273416495278,0,149.6908396946565,0.011244263131055584
22,5,49,6062,14,1,0,0,0,0,0.0006078758766571047,1,0.008081807685964044,0.28
25,6,109,6193,3,24,1,1,0,0,0.0075420215896897,1,0.01759767516951889,0.02727272727272727
24,5,287,7178,7,21,1,0,0,0,0.01863380128868001,1,0.039977712773366765,0.024305555555555556
10,13,15079,1403,330,144,1,1,0,0,0.036060663086338006,0,10.74002849002849,0.021883289124668436
25,5,233,724,5,27,1,0,0,0,0.0051960003127343255,1,0.3213793103448276,0.021367521367521368
14,16,4644,1627,287,12,1,1,1,0,0.01745330110564621,0,2.8525798525798525,0.06178686759956943
15,23,13319,536,62,136,1,1,0,0,0.07779229118038263,0,24.802607076350093,0.0046546546546546545
23,6,255,4017,6,14,1,0,0,0,0.005583777731297406,1,0.06346441015430562,0.0234375
19,6,132,4628,9,26,0,0,0,0,0.010427315178883604,1,0.028515878159429683,0.06766917293233082
20,4,83,3486,6,6,0,0,0,0,0.019081351023642962,1,0.02380269572698595,0.07142857142857142
29,5,232,5452,5,26,1,0,0,0,0.006701993935555331,1,0.04254538785989364,0.02145922746781116
11,28,23912,1867,104,91,0,1,0,0,0.08798524841391325,0,12.80085653104925,0.004349098816543303
25,8,193,6195,9,19,0,1,0,0,0.01280684305808147,1,0.031149128469980632,0.04639175257731959
26,5,221,4679,9,11,1,1,0,0,0.016919917111495854,1,0.04722222222222222,0.04054054054054054
16,0,90,1600,16,6,0,1,0,0,0.018702179726776808,1,0.056214865708931916,0.17582417582417584
12,23,11016,128,80,132,1,1,0,0,0.03151032381917124,0,85.3953488372093,0.007261504946900245
5,8,36685,1242,266,73,0,1,1,1,0.06466996688203261,0,29.513274336283185,0.007250722346399172
21,6,41,6986,10,17,0,0,0,0,0.015776406127045058,1,0.0058680406469157,0.23809523809523808
9,32,25933,1772,369,36,0,1,0,0,0.03709994671531835,0,14.626621545403271,0.014228426004472893
19,30,3841,639,388,65,0,1,0,0,0.07180401522673385,0,6.0015625,0.10098906819364914
10,12,22638,1688,94,105,1,1,1,0,0.0919418847715032,0,13.403197158081705,0.004152126860727064
20,17,1750,940,462,106,1,1,0,0,0.06181319925148144,0,1.8597236981934113,0.26384922901199315
16,30,30748,150,229,114,0,1,1,0,0.01491941220671646,0,203.6291390728477,0.007447396663306124
29,7,205,6800,13,13,0,0,0,0,0.014227624412613403,1,0.030142626084399354,0.06310679611650485
19,19,1745,242,293,10,0,1,1,0,0.0710985432684909,0,7.181069958847736,0.16781214203894615
22,2,159,2176,7,18,1,1,0,0,0.009191346177750966,1,0.07303628847037207,0.04375
28,9,50,973,18,24,0,1,0,0,0.018895896024678612,1,0.0513347022587269,0.35294117647058826
21,9,34803,483,195,11,0,0,1,0,0.019877699268014637,0,71.90702479338843,0.005602804275370647
27,9,161,908,10,18,1,1,0,0,0.006370629372596644,1,0.1771177117711771,0.06172839506172839
15,22,14974,1089,112,93,0,1,1,0,0.02343238835025934,0,13.737614678899083,0.007479131886477463
19,8,251,3242,10,12,0,0,0,0,0.013688735283708309,1,0.07739747147702744,0.03968253968253968
25,8,259,7104,4,23,0,1,0,0,0.0038128535560668976,1,0.03645320197044335,0.015384615384615385
19,0,253,532,14,21,0,0,0,0,0.010654838908109839,1,0.474671669793621,0.05511811023622047
16,23,8162,1607,114,101,0,1,0,0,0.05031689239100824,0,5.075870646766169,0.01396545387725101
29,8,184,3142,3,6,1,0,0,0,0.01394636678774865,1,0.05854279350938594,0.016216216216216217
24,4,207,6112,13,18,0,1,0,0,0.010913530316731207,1,0.0338622607557664,0.0625
28,1,202,5426,5,21,0,1,0,0,0.0012984057639387036,1,0.03722130090289294,0.024630541871921183
24,3,146,7494,1,7,0,1,0,0,0.0065960748675204205,1,0.019479653102068045,0.006802721088435374
28,9,150,1112,19,17,0,1,1,0,0.0068334802778209445,1,0.1347708894878706,0.12582781456953643
23,2,111,1866,13,8,0,1,0,0,0.01854629918150245,1,0.05945366898768077,0.11607142857142858
29,9,206,4169,5,4,0,1,0,0,0.017938454820455516,1,0.049400479616306954,0.024154589371980676
21,16,1413,416,197,48,1,0,1,0,0.0889713455731991,0,3.3884892086330933,0.13932107496463933
16,2,24,535,7,2,1,0,0,0,0.006754198260511728,1,0.04477611940298507,0.28
14,8,5748,123,108,63,1,1,0,0,0.011607857274937539,0,46.354838709677416,0.018785875804487737
29,2,94,3211,19,0,0,0,0,0,0.010937417750032088,1,0.029265255292652552,0.2
20,22,2476,776,397,66,1,1,1,0,0.028381348029947503,0,3.1866151866151866,0.16027452563584982
16,21,34624,657,219,78,0,0,0,0,0.0763645294890514,0,52.620060790273556,0.006324909747292419
20,29,34870,1797,326,47,0,1,1,0,0.08558910618704527,0,19.39377085650723,0.009348742508101287
16,24,36711,77,102,34,1,1,1,0,0.0794001473947919,0,470.65384615384613,0.002778383089997821
27,2,65,3812,7,23,0,0,0,0,0.01637298971435463,1,0.017046944662995018,0.10606060606060606
17,33,1970,989,373,134,0,1,1,0,0.11485064080763878,0,1.9898989898989898,0.18924403855910704
19,8,294,4251,18,10,0,1,0,0,0.01090519813758724,1,0.06914393226716839,0.061016949152542375
7,29,25409,302,485,113,0,1,1,0,0.10647516170685245,0,83.85808580858085,0.01908697363242818
15,9,100,6513,15,17,0,1,0,0,0.01054202038293427,1,0.015351550506601168,0.1485148514851485
12,10,40647,1628,149,66,1,1,1,0,0.10304896105576776,0,24.952117863720073,0.003665617004526668
17,9,218,4005,9,28,0,1,0,0,0.01891188027899618,1,0.054418372441337994,0.0410958904109589
25,2,144,6334,16,9,1,0,0,0,0.015442341955642279,1,0.022730860299921073,0.1103448275862069
20,6,204,1606,7,27,0,1,0,0,0.00016493650546272056,1,0.1269446172993155,0.03414634146341464
16,6,49927,471,185,147,1,1,0,0,0.08764752800507561,0,105.77754237288136,0.003705335683384073
17,0,134,3356,4,27,0,0,0,0,0.006689661816269421,1,0.03991659219541257,0.02962962962962963
16,23,4348,323,262,35,0,1,0,0,0.07545868290542401,0,13.419753086419753,0.06024373419176822
28,6,105,4015,0,20,1,1,0,0,0.0020514487743929343,1,0.026145418326693228,0.0
24,7,161,5678,19,28,1,1,1,0,0.007730234262561109,1,0.028350061630568763,0.11728395061728394
21,4,162,6636,9,17,1,0,0,0,0.014591969164705319,1,0.02440861835166491,0.05521472392638037
21,2,18,1731,2,20,0,0,0,0,0.009832454612232974,1,0.010392609699769052,0.10526315789473684
17,16,10056,797,204,27,0,1,0,0,0.08478273729656971,0,12.601503759398497,0.02028437903947499
11,16,3179,451,489,82,0,1,1,0,0.07268113283001298,0,7.033185840707965,0.15377358490566037
20,7,246,5684,2,19,1,1,0,0,0.0008753016451638884,1,0.04327176781002638,0.008097165991902834
17,6,65,2022,6,19,0,1,0,0,0.009083873541585685,1,0.03213049925852694,0.09090909090909091
27,6,167,5660,6,11,0,0,1,0,0.0005441676761925995,1,0.029500088323617734,0.03571428571428571
21,14,3171,1757,278,42,0,1,0,0,0.07764089666576653,0,1.8037542662116042,0.08764186633039092
21,15,42621,1766,80,80,0,1,1,0,0.08415848446123202,0,24.120543293718168,0.0018769649476796022
10,33,35994,595,138,52,1,1,1,1,0.11857253901796225,0,60.39261744966443,0.0038338658146964857
24,8,72,3890,2,26,0,1,1,0,0.0020044336933730178,1,0.018504240555127217,0.0273972602739726
29,3,196,2370,10,4,0,1,0,0,0.0001219180996373903,1,0.08266554196541544,0.050761421319796954
9,14,21178,61,183,95,0,1,0,0,0.0749560789691692,0,341.5806451612903,0.008640634590868314
7,10,40978,1838,327,115,0,1,1,0,0.07147155493102991,0,22.282762370853725,0.007979696917933576
27,0,246,6319,0,27,1,0,0,0,0.009716001302019115,1,0.03892405063291139,0.0
27,8,255,3587,16,5,0,0,0,0,0.0030227439364648467,1,0.07107023411371237,0.0625
7,6,16509,1093,402,121,0,1,0,0,0.1145118406954753,0,15.090493601462523,0.024348879466989704
19,4,202,2431,10,29,0,0,0,0,0.011446491509072027,1,0.08305921052631579,0.04926108374384237
25,0,297,7250,7,1,1,0,0,0,0.010680186413546034,1,0.04095986760446835,0.02348993288590604
5,21,14909,870,241,10,1,1,1,0,0.019699806736493828,0,17.117106773823192,0.016163648558014755
7,25,25725,1540,34,127,1,1,1,0,0.059666302298214076,0,16.693705386112914,0.001321620150820182
24,8,231,1404,15,3,0,1,0,0,0.0130857467180869,1,0.16441281138790034,0.06465517241379311
22,5,157,3972,8,1,1,0,0,0,0.01458559667682207,1,0.03951673798137428,0.05063291139240506
16,34,39454,1277,411,121,0,1,1,0,0.07302926060785445,0,30.871674491392803,0.010416930680522114
16,11,34574,268,150,148,0,1,0,0,0.02294108505956586,0,128.5278810408922,0.004338394793926247
16,4,219,1976,15,12,1,0,0,0,0.003154812316085154,1,0.11077389984825493,0.06818181818181818
17,4,24,4879,14,26,0,0,0,0,0.00235722984756507,1,0.004918032786885246,0.56
16,3,82,760,14,21,0,0,0,0,0.011656265464248566,1,0.10775295663600526,0.1686746987951807
18,18,35490,1346,318,44,1,0,0,0,0.07545092638663688,0,26.347438752783965,0.008960018032740694
12,6,5357,1919,182,86,1,1,0,0,0.08154820901432452,0,2.7901041666666666,0.0339678984695782
25,2,274,3021,0,3,0,1,0,0,0.011191762821067786,1,0.09066843150231635,0.0
18,2,236,3423,0,9,1,0,0,0,0.0004607893671008112,1,0.0689252336448598,0.0
20,14,28097,837,118,123,0,1,1,0,0.0652532095680891,0,33.52863961813843,0.004199587159228415
25,4,50,6536,4,24,0,1,0,0,0.012964936450921645,1,0.00764876854826373,0.0784313725490196
15,11,22468,814,406,90,1,1,0,0,0.02764594759758702,0,27.5680981595092,0.01806933997952735
24,0,235,4478,10,3,0,1,0,0,0.008618297853577206,1,0.052467068542085285,0.0423728813559322
28,5,285,1102,10,17,0,0,0,0,0.01856355320570086,1,0.2583862194016319,0.03496503496503497
13,13,49273,1202,381,140,1,1,1,0,0.02130958248541589,0,40.958437240232755,0.007732272598124772
8,9,17933,960,293,32,0,1,0,0,0.04665014710456295,0,18.66077003121748,0.01633768261402922
25,2,237,4960,10,12,1,0,0,0,0.014559624263881582,1,0.04777262648659544,0.04201680672268908
21,6,79,1157,7,0,0,1,0,0,0.011639467160828124,1,0.06822107081174439,0.0875
13,29,25983,686,295,76,0,1,1,0,0.09855793769109127,0,37.82096069868996,0.011353140394088669
15,4,179,2257,11,9,0,1,1,0,0.00430543251812763,1,0.07927369353410098,0.06111111111111111
21,25,4018,659,175,102,0,0,0,0,0.11614978641771755,0,6.087878787878788,0.04354316994277183
15,17,1931,1511,105,141,0,1,1,0,0.10576609268332827,0,1.277116402116402,0.05434782608695652
18,9,55,2000,13,19,0,0,1,0,0.00875857206907822,1,0.027486256871564217,0.23214285714285715
6,26,16676,1884,10,21,0,1,1,1,0.10456996267376385,0,8.846684350132627,0.0005996282304970918
26,9,73,4282,9,15,0,1,0,0,0.0007212378455833424,1,0.01704412794770021,0.12162162162162163
16,10,5570,459,132,64,0,1,1,0,0.05910897994242973,0,12.108695652173912,0.023694130317716746
9,8,32076,1356,59,29,1,1,1,0,0.07525109333137404,0,23.63743551952837,0.00183932412632104
14,29,1323,1700,438,113,0,0,1,0,0.07872581107524698,0,0.7777777777777778,0.33081570996978854
17,17,13648,1256,93,17,1,1,1,0,0.07407861135365952,0,10.857597454256165,0.006813685984321196
19,28,7747,1603,336,21,0,1,0,0,0.03710777088730211,0,4.829800498753118,0.04336602994321115
19,33,11989,1620,453,136,1,1,1,0,0.03856822144729632,0,7.396051819864281,0.03778148457047539
6,15,32776,62,330,59,1,1,1,0,0.05027352771442037,0,520.2539682539683,0.010068035512707081
17,7,93,3302,7,19,0,0,0,0,0.012563794753547283,1,0.02815622161671208,0.07446808510638298
29,6,60,4348,12,27,0,1,0,0,0.0037334796439148213,1,0.013796275005748447,0.19672131147540983
22,0,6,5632,7,23,0,1,0,0,0.013768490827912268,1,0.0010651517841292384,1.0
26,2,51,695,18,16,0,0,1,0,0.01593744227590251,1,0.07327586206896551,0.34615384615384615
18,7,33390,1262,372,55,1,1,1,0,0.10682371869341246,0,26.43705463182898,0.011140726543080471
17,6,101,4915,6,16,0,1,1,0,0.004922184742723421,1,0.020545158665581775,0.058823529411764705
5,14,5805,1615,220,65,1,1,0,0,0.07210424642134786,0,3.5922029702970297,0.037891836031691356
25,8,210,6659,7,18,1,1,0,0,0.010530106507642932,1,0.03153153153153153,0.03317535545023697
17,8,39250,1562,395,71,0,1,0,0,0.11609667632128653,0,25.111964171465132,0.010063437874194288
18,28,16856,1807,212,134,1,1,1,0,0.02657240551878101,0,9.323008849557523,0.01257637776591327
9,34,49860,820,193,17,1,1,1,0,0.03815490317749232,0,60.73081607795371,0.003870760714787108
12,27,48224,1842,413,78,0,1,0,0,0.08808709576539461,0,26.16603364080304,0.008564022809745983
21,2,62,5368,5,24,1,1,0,0,0.013104859973418554,1,0.011547774259638667,0.07936507936507936
23,5,109,1372,4,8,1,0,1,0,0.005544860799961368,1,0.07938820101966497,0.03636363636363636
16,6,69,2091,2,27,0,1,0,0,0.0063537520549420325,1,0.032982791586998086,0.02857142857142857
25,0,217,2561,5,26,0,0,0,0,0.006952192845486249,1,0.08469945355191257,0.022935779816513763
19,11,49291,761,342,104,0,1,0,0,0.10220112382619424,0,64.68635170603675,0.006938245557088371
18,8,244,2526,6,10,0,0,1,0,0.008532706492905143,1,0.09655718242975861,0.024489795918367346
20,9,176,1273,15,18,0,0,0,0,0.015592821361724601,1,0.13814756671899528,0.0847457627118644
10,8,5760,901,84,119,0,1,1,0,0.027902817483558023,0,6.385809312638581,0.014580801944106925
9,19,10501,974,162,28,1,1,1,0,0.08322313184369279,0,10.77025641025641,0.015425633212721387
9,17,14129,1201,183,32,0,1,0,0,0.032804394056701554,0,11.754575707154743,0.012951167728237793
19,1,269,2865,11,0,1,0,0,0,0.00044675308762074154,1,0.09385903698534542,0.040740740740740744
5,30,25466,1986,330,126,0,1,1,0,0.11254889163673429,0,12.816305988928033,0.012957945576628578
16,6,35,5183,12,21,0,0,0,0,0.014211743298146949,1,0.006751543209876543,0.3333333333333333
27,1,139,1885,16,12,0,1,1,0,0.01405228819188278,1,0.07370095440084835,0.11428571428571428
25,9,185,7397,6,0,0,0,0,0,0.0014785115311616926,1,0.02500675858340092,0.03225806451612903
19,5,157,7326,8,16,1,1,0,0,0.01175537285936336,1,0.02142759656066603,0.05063291139240506
27,4,252,2740,2,5,0,0,0,0,0.003201060506351754,1,0.09193724917913171,0.007905138339920948
5,20,39132,1662,180,146,0,1,1,0,0.11862022786560851,0,23.53096812988575,0.004599698464211791
26,7,217,1652,12,26,0,0,0,0,0.012307847693721466,1,0.13127646702964307,0.05504587155963303
14,31,48974,821,339,148,1,1,1,0,0.0643310717585719,0,59.579075425790755,0.006921898928024502
27,7,70,3190,19,0,0,0,0,0,0.006079558182989456,1,0.021936696960200563,0.2676056338028169
22,2,60,6653,16,20,0,1,0,0,0.01871912490410384,1,0.009017132551848512,0.26229508196721313
16,7,16004,197,112,137,1,1,0,0,0.10413338048405832,0,80.82828282828282,0.006997813183380193
15,8,47338,1917,390,87,1,1,0,0,0.046381305792256175,0,24.680917622523463,0.008238450326369379
29,1,294,4781,15,5,0,1,1,0,0.008250303075352548,1,0.06148055207026349,0.05084745762711865
12,33,29377,1470,469,123,0,1,0,0,0.0615367850474016,0,19.970768184908227,0.015964327047450474
